id,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1593,8461819,0,0.5855,0.4145,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",70,0,4,10,285,2,10,10,10,10,10,10,2
1594,8469464,0.02125,0.720375,0.258375,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer}",59,0,0,0,248,8,9,7,10,10,9,9,0.75
1595,8469735,0.057666667,0.805,0.137333333,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",50,6,29,59,334,6,8,8,7,8,8,7,0.52
1596,8471852,0.004821429,0.616642857,0.3785,Apartment,Entire home/apt,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",120,0,1,1,271,28,10,10,10,10,10,10,2.41
1597,8473851,0.0015,0.667714286,0.330785714,House,Private room,2,2,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",50,11,41,71,161,14,10,10,10,10,9,10,1.23
1598,8480507,0.015266667,0.708266667,0.276533333,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",250,2,5,16,45,15,10,10,10,10,10,10,1.52
1599,8481291,0,0.86725,0.13275,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",69,0,0,0,0,4,10,10,10,10,10,10,0.36
1600,8482847,0.027566667,0.7305,0.241966667,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,Essentials}",75,7,19,49,324,30,9,8,10,10,9,9,2.66
1601,8490356,0.024,0.661333333,0.314444444,House,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit""}",75,14,44,74,349,9,10,9,10,10,9,9,0.78
1602,8495348,0.031666667,0.801,0.167333333,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",100,30,60,90,365,3,10,10,9,9,7,8,0.26
